name;term;party;city;birth_year
Abdullah DOÐRU;27;AK PARTÝ;ADANA;1965
Ahmet ZENBÝLCÝ;27;AK PARTÝ;ADANA;1966
Ayhan BARUT;27;CHP;ADANA;1964
Ayþe Sibel ERSOY;27;MHP;ADANA;1964.0
Burhanettin BULUT;27;CHP;ADANA;1970
Ýsmail KONCUK;27;ÝYÝ PARTÝ;ADANA;1959
Jülide SARIEROÐLU;27;AK PARTÝ;ADANA;1979
Kemal PEKÖZ;27;HDP;ADANA;1951
Mehmet Metanet ÇULHAOÐLU;27;ÝYÝ PARTÝ;ADANA;1954
Mehmet Þükrü ERDÝNÇ;27;AK PARTÝ;ADANA;1976.0
Muharrem VARLI;27;MHP;ADANA;1969
Müzeyyen ÞEVKÝN;27;CHP;ADANA;1961
Orhan SÜMER;27;CHP;ADANA;1963
Tamer DAÐLI;27;AK PARTÝ;ADANA;1970
Tulay HATIMOÐULLARI ORUÇ;27;HDP;ADANA;1977
Abdurrahman TUTDERE;27;CHP;ADIYAMAN;1976
Ahmet AYDIN;27;AK PARTÝ;ADIYAMAN;1971.0
Ýbrahim Halil FIRAT;27;AK PARTÝ;ADIYAMAN;1973
Muhammed Fatih TOPRAK;27;AK PARTÝ;ADIYAMAN;1985
Yakup TAÞ;27;AK PARTÝ;ADIYAMAN;1959
Ali ÖZKAYA;27;AK PARTÝ;AFYONKARAHÝSAR;1970
Burcu KÖKSAL;27;CHP;AFYONKARAHÝSAR;1980
Gültekin UYSAL;27;DP;AFYONKARAHÝSAR;1976
Ýbrahim YURDUNUSEVEN;27;AK PARTÝ;AFYONKARAHÝSAR;1969
Mehmet TAYTAK;27;MHP;AFYONKARAHÝSAR;1959.0
Veysel EROÐLU;27;AK PARTÝ;AFYONKARAHÝSAR;1948
Abdullah KOÇ;27;HDP;AÐRI;1972
Berdan ÖZTÜRK;27;HDP;AÐRI;1980
Dirayet Dilan TAÞDEMÝR;27;HDP;AÐRI;1982.0
Ekrem ÇELEBÝ;27;AK PARTÝ;AÐRI;1965
Ayhan EREL;27;ÝYÝ PARTÝ;AKSARAY;1957
Cengiz AYDOÐDU;27;AK PARTÝ;AKSARAY;1958.0
Ýlknur ÝNCEÖZ;27;AK PARTÝ;AKSARAY;1973
Ramazan KAÞLI;27;MHP;AKSARAY;1969.0
Hasan ÇÝLEZ;27;AK PARTÝ;AMASYA;1974
Mustafa TUNCER;27;CHP;AMASYA;1971
Mustafa Levent KARAHOCAGÝL;27;AK PARTÝ;AMASYA;1959.0
Ahmet Haluk KOÇ;27;CHP;ANKARA;1954
Ali Haydar HAKVERDÝ;27;CHP;ANKARA;1979
Ali Ýhsan ARSLAN;27;AK PARTÝ;ANKARA;1969.0
Arife POLAT DÜZGÜN;27;AK PARTÝ;ANKARA;1969
Asuman ERDOÐAN;27;AK PARTÝ;ANKARA;1980
Ayhan ALTINTAÞ;27;ÝYÝ PARTÝ;ANKARA;1958
Barýþ AYDIN;27;AK PARTÝ;ANKARA;1975
Bülent KUÞOÐLU;27;CHP;ANKARA;1958.0
Durmuþ YILMAZ;27;ÝYÝ PARTÝ;ANKARA;1947
Emrullah ÝÞLER;27;AK PARTÝ;ANKARA;1960
Erkan HABERAL;27;MHP;ANKARA;1972.0
Fatih ÞAHÝN;27;AK PARTÝ;ANKARA;1979.0
Filiz KERESTECÝOÐLU DEMÝR;27;HDP;ANKARA;1961
Gamze TAÞCIER;27;CHP;ANKARA;1982.0
Hacý TURAN;27;AK PARTÝ;ANKARA;1968
Ýbrahim Halil ORAL;27;ÝYÝ PARTÝ;ANKARA;1958
Koray AYDIN;27;ÝYÝ PARTÝ;ANKARA;1955
Levent GÖK;27;CHP;ANKARA;1959
Lütfiye Selva ÇAM;27;AK PARTÝ;ANKARA;1970
Mehmet Naci BOSTANCI;27;AK PARTÝ;ANKARA;1957
Mevlüt KARAKAYA;27;MHP;ANKARA;1963
Murat EMÝR;27;CHP;ANKARA;1969
Mustafa DESTÝCÝ;27;BBP;ANKARA;1966
Nevin TAÞLIÇAY;27;MHP;ANKARA;1974
Nevzat CEYLAN;27;AK PARTÝ;ANKARA;1953
Nihat YEÞÝL;27;CHP;ANKARA;1957
Orhan YEGÝN;27;AK PARTÝ;ANKARA;1978
Sadir DURMAZ;27;MHP;ANKARA;1963
Servet ÜNSAL;27;CHP;ANKARA;1957
Þenol SUNAT;27;ÝYÝ PARTÝ;ANKARA;1956
Tekin BÝNGÖL;27;CHP;ANKARA;1955
Yalçýn AKDOÐAN;27;AK PARTÝ;ANKARA;1969
Yaþar YILDIRIM;27;MHP;ANKARA;1956.0
Yýldýrým KAYA;27;CHP;ANKARA;1958
Yýldýrým Tuðrul TÜRKEÞ;27;AK PARTÝ;ANKARA;1954.0
Zeynep YILDIZ;27;AK PARTÝ;ANKARA;1992.0
Abdurrahman BAÞKAN;27;MHP;ANTALYA;1964
