NAME;TERM;PARTY;CITY;KANUN_TEKLIF_ILK;KANUN_TEKLIF;SORU_ONERGELERI_YAZILI;SORU_ONERGELERI_SOZLU;GENEL_GORUSME_ILK;GENEL_GORUSME;MEC_SORUSTURMA_ILK;MEC_SORUSTURMA;MEC_ARASTIRMA_ILK;MEC_ARASTIRMA;GENSORU_ILK;GENSORU;AGE
Aydın USLUPEHLİVAN;26;CHP;ADANA;2;35;6;0;1;1;0;0;4;102;0;0;61.0
Elif Doğan TÜRKMEN;26;CHP;ADANA;25;80;238;11;3;3;0;0;44;403;0;0;53.0
Fatma Güldemet SARI;26;AK PARTİ;ADANA;0;3;0;0;0;0;0;0;0;1;0;0;45.0
İbrahim ÖZDİŞ;26;CHP;ADANA;3;47;180;0;5;5;0;0;5;449;0;0;59.0
Mehmet Şükrü ERDİNÇ;26;AK PARTİ;ADANA;0;4;0;0;0;0;0;0;0;1;0;0;39.0
Meral DANIŞ BEŞTAŞ;26;HDP;ADANA;31;32;389;7;1;1;0;0;82;303;0;0;48.0
Mevlüt KARAKAYA;26;MHP;ADANA;5;5;84;1;0;0;0;0;13;153;0;0;52.0
Muharrem VARLI;26;MHP;ADANA;2;2;1;0;2;2;0;0;7;127;0;0;46.0
Necdet ÜNÜVAR;26;AK PARTİ;ADANA;0;4;0;0;0;0;0;0;3;6;0;0;55.0
Ömer ÇELİK;26;AK PARTİ;ADANA;0;2;0;0;0;0;0;0;0;0;0;0;47.0
Seyfettin YILMAZ;26;MHP;ADANA;1;3;1;0;0;0;0;0;1;61;0;0;47.0
Talip KÜÇÜKCAN;26;AK PARTİ;ADANA;0;2;0;0;0;0;0;0;0;0;0;0;52.0
Tamer DAĞLI;26;AK PARTİ;ADANA;0;4;0;0;0;0;0;0;0;2;0;0;45.0
Zülfikar İnönü TÜMER;26;CHP;ADANA;3;36;44;3;0;0;0;0;10;205;0;1;49.0
Adnan BOYNUKARA;26;AK PARTİ;ADIYAMAN;0;4;0;0;0;0;0;0;0;4;0;0;51.0
Ahmet AYDIN;26;AK PARTİ;ADIYAMAN;1;4;0;0;0;0;0;0;1;2;0;0;44.0
Behçet YILDIRIM;26;HDP;ADIYAMAN;0;0;47;4;0;0;0;0;8;280;0;0;56.0
İbrahim Halil FIRAT;26;AK PARTİ;ADIYAMAN;0;6;0;0;0;0;0;0;0;3;0;0;42.0
Salih FIRAT;26;AK PARTİ;ADIYAMAN;0;7;0;0;0;0;0;0;0;5;0;0;55.0
Ali ÖZKAYA;26;AK PARTİ;AFYONKARAHİSAR;0;4;0;0;0;0;0;0;0;4;0;0;45.0
Burcu KÖKSAL;26;CHP;AFYONKARAHİSAR;11;49;57;0;1;1;0;0;10;195;0;0;35.0
Hatice Dudu ÖZKAL;26;AK PARTİ;AFYONKARAHİSAR;0;5;0;0;0;0;0;0;0;3;0;0;49.0
Mehmet PARSAK;26;MHP;AFYONKARAHİSAR;6;8;7;0;1;1;0;0;7;115;0;0;36.0
Veysel EROĞLU;26;AK PARTİ;AFYONKARAHİSAR;0;2;0;0;0;0;0;0;0;0;0;0;67.0
Berdan ÖZTÜRK;26;HDP;AĞRI;5;5;26;0;0;0;0;0;19;278;0;0;35.0
Cesim GÖKÇE;26;AK PARTİ;AĞRI;0;3;0;0;0;0;0;0;0;2;0;0;47.0
Dirayet Dilan TAŞDEMİR;26;HDP;AĞRI;9;10;130;29;0;0;0;0;13;250;0;0;33.0
Leyla ZANA;26;HDP;AĞRI;0;0;0;0;0;0;0;0;0;0;0;0;54.0
Cengiz AYDOĞDU;26;AK PARTİ;AKSARAY;0;3;0;0;0;0;0;0;0;2;0;0;57.0
İlknur İNCEÖZ;26;AK PARTİ;AKSARAY;4;4;0;0;0;0;0;0;0;1;0;0;42.0
Mustafa SERDENGEÇTİ;26;AK PARTİ;AKSARAY;0;2;0;0;0;0;0;0;0;1;0;0;47.0
Haluk İPEK;26;AK PARTİ;AMASYA;0;2;0;0;0;0;0;0;0;1;0;0;52.0
Mehmet Naci BOSTANCI;26;AK PARTİ;AMASYA;5;5;0;0;0;0;0;0;1;1;0;0;58.0
Mustafa TUNCER;26;CHP;AMASYA;1;45;0;0;1;1;0;0;0;296;0;1;44.0
Ahmet İYİMAYA;26;AK PARTİ;ANKARA;1;4;0;0;0;0;0;0;0;1;0;0;65.0
Ahmet GÜNDOĞDU;26;AK PARTİ;ANKARA;0;6;0;0;0;0;0;0;0;1;0;0;54.0
Ahmet Haluk KOÇ;26;CHP;ANKARA;0;32;0;0;0;0;0;0;0;20;0;0;61.0
Ali BABACAN;26;AK PARTİ;ANKARA;0;3;0;0;0;0;0;0;0;0;0;0;48.0
Ali Haydar HAKVERDİ;26;CHP;ANKARA;0;42;57;0;4;4;0;0;2;532;0;0;36.0
Ali İhsan ARSLAN;26;AK PARTİ;ANKARA;0;2;0;0;0;0;0;0;0;0;0;0;46.0
Aydın ÜNAL;26;AK PARTİ;ANKARA;0;3;0;0;0;0;0;0;0;2;0;0;45.0
Aylin NAZLIAKA;26;BAĞIMSIZ;ANKARA;16;41;142;0;0;0;0;0;5;41;0;0;47.0
Ayşe Gülsün BİLGEHAN;26;CHP;ANKARA;1;8;22;0;0;0;0;0;1;10;0;0;58.0
Bülent KUŞOĞLU;26;CHP;ANKARA;1;10;20;0;0;0;0;0;1;30;0;0;57.0
Cemil ÇİÇEK;26;AK PARTİ;ANKARA;0;3;0;0;0;0;0;0;0;1;0;0;69.0
Emrullah İŞLER;26;AK PARTİ;ANKARA;0;3;0;0;0;0;0;0;0;1;0;0;55.0
Erkan HABERAL;26;MHP;ANKARA;34;35;48;0;0;0;0;0;8;97;0;0;43.0
Ertan AYDIN;26;AK PARTİ;ANKARA;0;4;0;0;0;0;0;0;0;1;0;0;44.0
Fatih ŞAHİN;26;AK PARTİ;ANKARA;0;3;0;0;0;0;0;0;0;2;0;0;36.0
Jülide SARIEROĞLU;26;AK PARTİ;ANKARA;1;10;0;0;0;0;0;0;0;1;0;0;36.0
Levent GÖK;26;CHP;ANKARA;78;78;457;0;3;3;0;0;30;43;0;4;56.0
Lütfiye Selva ÇAM;26;AK PARTİ;ANKARA;0;3;0;0;0;0;0;0;0;2;0;0;45.0
Murat ALPARSLAN;26;AK PARTİ;ANKARA;1;10;0;0;0;0;0;0;0;3;0;0;41.0
Murat EMİR;26;CHP;ANKARA;31;94;322;0;3;3;0;0;30;283;0;0;46.0
Mustafa MİT;26;MHP;ANKARA;4;5;23;0;3;3;0;0;8;175;0;0;65.0
Necati YILMAZ;26;CHP;ANKARA;0;13;123;0;0;0;0;0;7;76;0;0;51.0
Nevzat CEYLAN;26;AK PARTİ;ANKARA;0;5;0;0;0;0;0;0;0;2;0;0;62.0
Nihat YEŞİL;26;CHP;ANKARA;3;52;72;3;5;5;0;0;5;459;0;0;58.0
Sırrı Süreyya ÖNDER;26;HDP;ANKARA;0;0;0;0;0;0;0;0;0;273;0;0;53.0
Şefkat ÇETİN;26;MHP;ANKARA;1;1;0;0;0;0;0;0;0;98;0;0;61.0
Şenal SARIHAN;26;CHP;ANKARA;14;59;111;0;3;3;0;0;10;313;0;0;67.0
Tekin BİNGÖL;26;CHP;ANKARA;3;46;11;0;6;6;0;0;3;315;0;0;60.0
Vedat BİLGİN;26;AK PARTİ;ANKARA;0;2;0;0;0;0;0;0;0;1;0;0;61.0
Yalçın AKDOĞAN;26;AK PARTİ;ANKARA;0;3;0;0;0;0;0;0;0;0;0;0;46.0
Yıldırım Tuğrul TÜRKEŞ;26;AK PARTİ;ANKARA;0;3;0;0;0;0;0;0;0;0;0;0;61.0
Zühal TOPCU;26;MHP;ANKARA;16;16;152;2;0;0;0;0;31;137;0;0;55.0
Ahmet Selim YURDAKUL;26;MHP;ANTALYA;9;12;70;0;3;3;0;0;19;173;0;0;49.0
Atay USLU;26;AK PARTİ;ANTALYA;0;5;0;0;0;0;0;0;0;2;0;0;45.0
Çetin Osman BUDAK;26;CHP;ANTALYA;8;47;143;5;1;1;0;0;14;124;0;0;55.0
Deniz BAYKAL;26;CHP;ANTALYA;0;8;1;0;0;0;0;0;0;0;0;0;77.0
Devrim KÖK;26;CHP;ANTALYA;5;52;35;0;4;4;0;0;8;320;0;0;38.0
Gökcen ÖZDOĞAN ENÇ;26;AK PARTİ;ANTALYA;0;5;0;0;0;0;0;0;1;4;0;0;39.0
Hüseyin SAMANİ;26;AK PARTİ;ANTALYA;0;5;0;0;0;0;0;0;1;2;0;0;51.0
İbrahim AYDIN;26;AK PARTİ;ANTALYA;0;5;0;0;0;0;0;0;0;2;0;0;53.0
Mehmet GÜNAL;26;MHP;ANTALYA;0;0;1;0;3;3;0;0;0;95;0;0;51.0
Mevlüt ÇAVUŞOĞLU;26;AK PARTİ;ANTALYA;0;2;0;0;0;0;0;0;0;0;0;0;47.0
Mustafa KÖSE;26;AK PARTİ;ANTALYA;0;5;0;0;0;0;0;0;0;1;0;0;38.0
Mustafa AKAYDIN;26;CHP;ANTALYA;5;27;39;5;2;2;0;0;8;158;0;1;63.0
Niyazi Nefi KARA;26;CHP;ANTALYA;31;90;123;1;2;2;0;0;29;480;0;0;46.0
Sena Nur ÇELİK;26;AK PARTİ;ANTALYA;0;5;0;0;0;0;0;0;0;0;0;0;29.0
Orhan ATALAY;26;AK PARTİ;ARDAHAN;0;4;0;0;0;0;0;0;1;3;0;0;50.0
Öztürk YILMAZ;26;CHP;ARDAHAN;0;29;5;0;0;0;0;0;0;53;0;0;45.0
İsrafil KIŞLA;26;AK PARTİ;ARTVİN;0;4;0;0;0;0;0;0;0;4;0;0;56.0
Uğur BAYRAKTUTAN;26;CHP;ARTVİN;26;59;448;0;1;1;0;0;72;182;0;0;50.0
Abdurrahman ÖZ;26;AK PARTİ;AYDIN;0;5;0;3;0;0;0;0;0;1;0;0;44.0
Bülent TEZCAN;26;CHP;AYDIN;11;20;5;0;0;0;0;0;3;36;0;0;50.0
Deniz DEPBOYLU;26;MHP;AYDIN;6;7;11;5;1;1;0;0;10;186;0;0;47.0
Hüseyin YILDIZ;26;CHP;AYDIN;0;52;5;0;6;6;0;0;2;646;0;0;48.0
Mehmet ERDEM;26;AK PARTİ;AYDIN;0;3;0;0;0;0;0;0;0;2;0;0;49.0
Metin Lütfi BAYDAR;26;CHP;AYDIN;2;15;195;0;0;0;0;0;14;46;0;0;55.0
Mustafa SAVAŞ;26;AK PARTİ;AYDIN;0;4;0;0;0;0;0;0;0;1;0;0;50.0
Ahmet AKIN;26;CHP;BALIKESİR;25;78;124;13;10;10;0;0;27;778;0;1;42.0
Ali AYDINLIOĞLU;26;AK PARTİ;BALIKESİR;0;3;0;0;0;0;0;0;0;1;0;0;57.0
İsmail OK;26;İYİ PARTİ;BALIKESİR;22;23;119;47;3;3;0;0;17;106;0;0;51.0
Kasım BOSTAN;26;AK PARTİ;BALIKESİR;0;7;0;0;0;0;0;0;0;1;0;0;53.0
Mahmut POYRAZLI;26;AK PARTİ;BALIKESİR;0;3;0;0;0;0;0;0;0;0;0;0;50.0
Mehmet TÜM;26;CHP;BALIKESİR;14;61;74;0;4;4;0;0;3;400;0;1;58.0
Namık HAVUTÇA;26;CHP;BALIKESİR;17;54;45;0;5;5;0;0;25;256;0;0;58.0
Sema KIRCI;26;AK PARTİ;BALIKESİR;0;4;0;0;0;0;0;0;0;2;0;0;44.0
Muhammet Rıza YALÇINKAYA;26;CHP;BARTIN;2;38;40;8;0;0;0;0;2;76;0;0;60.0
Yılmaz TUNÇ;26;AK PARTİ;BARTIN;2;9;0;0;0;0;0;0;0;8;0;0;44.0
Ataullah HAMİDİ;26;AK PARTİ;BATMAN;0;2;0;0;0;0;0;0;0;1;0;0;61.0
Ayşe ACAR BAŞARAN;26;HDP;BATMAN;1;1;75;0;0;0;0;0;12;281;0;0;30.0
Mehmet Ali ASLAN;26;HDP;BATMAN;2;2;125;0;0;0;0;0;0;263;0;0;40.0
Saadet BECEREKLİ;26;HDP;BATMAN;0;1;38;0;0;0;0;0;5;278;0;0;60.0
Naci AĞBAL;26;AK PARTİ;BAYBURT;0;2;0;0;0;0;0;0;0;0;0;0;47.0
Şahap KAVCIOĞLU;26;AK PARTİ;BAYBURT;0;3;0;0;0;0;0;0;0;1;0;0;48.0
Halil ELDEMİR;26;AK PARTİ;BİLECİK;0;5;0;0;0;0;0;0;0;7;0;0;42.0
Yaşar TÜZÜN;26;CHP;BİLECİK;4;36;22;0;0;0;0;0;2;75;0;0;49.0
Cevdet YILMAZ;26;AK PARTİ;BİNGÖL;0;2;0;0;0;0;0;0;0;0;0;0;48.0
